instant,date,season,year,month,is holiday,day of week,is work day,weather,temp,felt temp,humidity,windspeed,casual,registered,total riders
478,2012-04-22,2:summer,1,4,0,0:sunday,0,3,0.396667,0.389504,0.835417,0.344546,120,907,1027
528,2012-06-11,2:summer,1,6,0,1:monday,1,2,0.720833,0.659721,0.587917,0.207713,1017,5647,6664
315,2011-11-11,4:winter,0,11,1,5:friday,0,1,0.324167,0.306817,0.44625,0.314675,440,2928,3368
632,2012-09-23,4:winter,1,9,0,0:sunday,0,1,0.529167,0.518933,0.46708299999999997,0.22325799999999998,2454,5453,7907
653,2012-10-14,4:winter,1,10,0,0:sunday,0,1,0.521667,0.508204,0.640417,0.27861199999999997,2080,4559,6639
702,2012-12-02,4:winter,1,12,0,0:sunday,0,2,0.3475,0.35920799999999997,0.823333,0.12437899999999999,892,3757,4649
317,2011-11-13,4:winter,0,11,0,0:sunday,0,1,0.440833,0.43055,0.458333,0.281721,1004,2713,3717
375,2012-01-10,1:spring,1,1,0,2:tuesday,1,1,0.308696,0.318826,0.646522,0.187552,173,3425,3598
313,2011-11-09,4:winter,0,11,0,3:wednesday,1,1,0.4,0.40907899999999997,0.758333,0.06219580000000001,305,3804,4109
503,2012-05-17,2:summer,1,5,0,4:thursday,1,1,0.593333,0.572613,0.52,0.229475,1242,6142,7384
602,2012-08-24,3:fall,1,8,0,5:friday,1,2,0.7025,0.6471,0.615,0.07214580000000001,1325,6257,7582
302,2011-10-29,4:winter,0,10,0,6:saturday,0,3,0.25416700000000003,0.227913,0.8825,0.351371,57,570,627
373,2012-01-08,1:spring,1,1,0,0:sunday,0,1,0.3375,0.340258,0.465,0.19154200000000002,599,2826,3425
214,2011-08-02,3:fall,0,8,0,2:tuesday,1,1,0.783333,0.707071,0.49125,0.20585,801,4044,4845
79,2011-03-20,1:spring,0,3,0,0:sunday,0,1,0.3325,0.32575,0.47375,0.20772100000000002,1047,1424,2471
193,2011-07-12,3:fall,0,7,0,2:tuesday,1,1,0.794167,0.739275,0.559167,0.200254,662,3596,4258
102,2011-04-12,2:summer,0,4,0,2:tuesday,1,2,0.5025,0.493054,0.739167,0.274879,257,1777,2034
379,2012-01-14,1:spring,1,1,0,6:saturday,0,1,0.18,0.183087,0.4575,0.187183,333,2160,2493
490,2012-05-04,2:summer,1,5,0,5:friday,1,1,0.6275,0.590917,0.735417,0.162938,1069,5227,6296
434,2012-03-09,1:spring,1,3,0,5:friday,1,2,0.410833,0.397083,0.407083,0.4148,447,4122,4569
159,2011-06-08,2:summer,0,6,0,3:wednesday,1,1,0.775833,0.727279,0.6220829999999999,0.136817,676,3725,4401
530,2012-06-13,2:summer,1,6,0,3:wednesday,1,1,0.655833,0.611117,0.582083,0.343279,1173,6248,7421
184,2011-07-03,3:fall,0,7,0,0:sunday,0,2,0.716667,0.668575,0.6825,0.228858,2282,2367,4649
715,2012-12-15,4:winter,1,12,0,6:saturday,0,1,0.324167,0.338383,0.650417,0.10635,767,4280,5047
300,2011-10-27,4:winter,0,10,0,4:thursday,1,2,0.47,0.457046,0.812917,0.19776300000000002,240,2419,2659
689,2012-11-19,4:winter,1,11,0,1:monday,1,2,0.380833,0.375621,0.623333,0.235067,449,5050,5499
339,2011-12-05,4:winter,0,12,0,1:monday,1,2,0.385833,0.393925,0.827083,0.06220830000000001,233,3578,3811
523,2012-06-06,2:summer,1,6,0,3:wednesday,1,1,0.554167,0.542292,0.61125,0.077125,1027,6028,7055
608,2012-08-30,3:fall,1,8,0,4:thursday,1,1,0.706667,0.652779,0.590417,0.0771167,1172,6541,7713
148,2011-05-28,2:summer,0,5,0,6:saturday,0,1,0.655833,0.612379,0.729583,0.23009200000000002,2001,2757,4758
569,2012-07-22,3:fall,1,7,0,0:sunday,0,2,0.6675,0.623125,0.7625,0.09392080000000001,2544,4866,7410
99,2011-04-09,2:summer,0,4,0,6:saturday,0,2,0.3425,0.34152899999999997,0.8775,0.13308299999999998,879,1576,2455
205,2011-07-24,3:fall,0,7,0,0:sunday,0,1,0.83,0.794829,0.550833,0.16917100000000002,1050,2556,3606
710,2012-12-10,4:winter,1,12,0,1:monday,1,2,0.43583299999999997,0.435575,0.925,0.190308,329,4841,5170
640,2012-10-01,4:winter,1,10,0,1:monday,1,2,0.520833,0.512,0.649167,0.09080419999999999,763,6015,6778
134,2011-05-14,2:summer,0,5,0,6:saturday,0,2,0.520833,0.500629,0.9225,0.13495,902,2507,3409
337,2011-12-03,4:winter,0,12,0,6:saturday,0,1,0.299167,0.310604,0.612917,0.0957833,706,2908,3614
457,2012-04-01,2:summer,1,4,0,0:sunday,0,2,0.425833,0.41728699999999996,0.67625,0.172267,2347,3694,6041
404,2012-02-08,1:spring,1,2,0,3:wednesday,1,2,0.25666700000000003,0.266421,0.722917,0.133721,109,2693,2802
111,2011-04-21,2:summer,0,4,0,4:thursday,1,1,0.459167,0.453892,0.407083,0.325258,745,3444,4189
423,2012-02-27,1:spring,1,2,0,1:monday,1,1,0.366667,0.357954,0.490833,0.26803299999999997,253,4069,4322
529,2012-06-12,2:summer,1,6,0,2:tuesday,1,2,0.6533329999999999,0.597875,0.833333,0.21454600000000001,477,4495,4972
474,2012-04-18,2:summer,1,4,0,3:wednesday,1,2,0.463333,0.457038,0.569167,0.16791199999999998,347,4020,4367
387,2012-01-22,1:spring,1,1,0,0:sunday,0,2,0.1625,0.16225,0.79625,0.199638,196,1781,1977
21,2011-01-21,1:spring,0,1,0,5:friday,1,1,0.1775,0.157833,0.457083,0.353242,75,1468,1543
89,2011-03-30,2:summer,0,3,0,3:wednesday,1,2,0.3,0.29735,0.646667,0.17288800000000001,168,1368,1536
489,2012-05-03,2:summer,1,5,0,4:thursday,1,2,0.56,0.537242,0.768333,0.133696,764,5657,6421
169,2011-06-18,2:summer,0,6,0,6:saturday,0,1,0.696667,0.643954,0.670417,0.11940799999999999,1807,3312,5119
658,2012-10-19,4:winter,1,10,0,5:friday,1,2,0.563333,0.537896,0.815,0.134954,753,4671,5424
664,2012-10-25,4:winter,1,10,0,4:thursday,1,2,0.55,0.529688,0.800417,0.124375,875,6484,7359
122,2011-05-02,2:summer,0,5,0,1:monday,1,2,0.549167,0.532833,0.73,0.183454,847,3554,4401
84,2011-03-25,2:summer,0,3,0,5:friday,1,1,0.264167,0.256312,0.495,0.230725,300,1910,2210
637,2012-09-28,4:winter,1,9,0,5:friday,1,2,0.619167,0.585863,0.69,0.164179,1045,6370,7415
74,2011-03-15,1:spring,0,3,0,2:tuesday,1,2,0.317391,0.318178,0.655652,0.184309,289,1767,2056
